"","V1","V2"
"c.32..79.",32,79
"c.32..94.",32,94
"c.32..95.",32,95
"c.32..97.",32,97
"c.32..98.",32,98
"c.32..110.",32,110
"c.32..126.",32,126
"c.32..148.",32,148
"c.32..216.",32,216
"c.32..254.",32,254
"c.32..290.",32,290
"c.32..302.",32,302
"c.32..319.",32,319
"c.32..341.",32,341
"c.32..355.",32,355
"c.32..367.",32,367
"c.32..381.",32,381
"c.32..384.",32,384
"c.32..387.",32,387
"c.32..398.",32,398
"c.32..403.",32,403
"c.32..410.",32,410
"c.32..425.",32,425
"c.32..430.",32,430
"c.32..443.",32,443
"c.32..505.",32,505
"c.33..43.",33,43
"c.33..69.",33,69
"c.33..102.",33,102
"c.33..124.",33,124
"c.33..129.",33,129
"c.33..137.",33,137
"c.33..166.",33,166
"c.33..171.",33,171
"c.33..219.",33,219
"c.33..226.",33,226
"c.33..235.",33,235
"c.33..256.",33,256
"c.33..294.",33,294
"c.33..316.",33,316
"c.33..320.",33,320
"c.33..342.",33,342
"c.33..347.",33,347
"c.33..390.",33,390
"c.33..394.",33,394
"c.33..399.",33,399
"c.33..417.",33,417
"c.33..439.",33,439
"c.33..451.",33,451
"c.33..457.",33,457
"c.33..462.",33,462
"c.33..474.",33,474
"c.33..483.",33,483
"c.34..37.",34,37
"c.34..47.",34,47
"c.34..58.",34,58
"c.34..79.",34,79
"c.34..94.",34,94
"c.34..97.",34,97
"c.34..98.",34,98
"c.34..148.",34,148
"c.34..154.",34,154
"c.34..200.",34,200
"c.34..216.",34,216
"c.34..232.",34,232
"c.34..245.",34,245
"c.34..266.",34,266
"c.34..267.",34,267
"c.34..302.",34,302
"c.34..322.",34,322
"c.34..338.",34,338
"c.34..378.",34,378
"c.34..381.",34,381
"c.34..384.",34,384
"c.34..410.",34,410
"c.34..413.",34,413
"c.34..424.",34,424
"c.34..443.",34,443
"c.34..467.",34,467
"c.35..42.",35,42
"c.35..70.",35,70
"c.35..76.",35,76
"c.35..102.",35,102
"c.35..125.",35,125
"c.35..171.",35,171
"c.35..189.",35,189
"c.35..222.",35,222
"c.35..262.",35,262
"c.35..274.",35,274
"c.35..284.",35,284
"c.35..291.",35,291
"c.35..315.",35,315
"c.35..340.",35,340
"c.35..356.",35,356
"c.35..383.",35,383
"c.35..386.",35,386
"c.35..421.",35,421
"c.35..434.",35,434
"c.35..438.",35,438
"c.35..452.",35,452
"c.35..460.",35,460
"c.35..465.",35,465
"c.35..474.",35,474
"c.35..476.",35,476
"c.35..494.",35,494
"c.36..47.",36,47
"c.36..56.",36,56
"c.36..80.",36,80
"c.36..84.",36,84
"c.36..98.",36,98
"c.36..110.",36,110
"c.36..114.",36,114
"c.36..121.",36,121
"c.36..126.",36,126
"c.36..163.",36,163
"c.36..173.",36,173
"c.36..184.",36,184
"c.36..200.",36,200
"c.36..215.",36,215
"c.36..234.",36,234
"c.36..242.",36,242
"c.36..302.",36,302
"c.36..311.",36,311
"c.36..321.",36,321
"c.36..335.",36,335
"c.36..341.",36,341
"c.36..367.",36,367
"c.36..378.",36,378
"c.36..387.",36,387
"c.36..397.",36,397
"c.36..398.",36,398
"c.36..430.",36,430
"c.36..431.",36,431
"c.37..47.",37,47
"c.37..49.",37,49
"c.37..51.",37,51
"c.37..52.",37,52
"c.37..63.",37,63
"c.37..115.",37,115
"c.37..118.",37,118
"c.37..135.",37,135
"c.37..148.",37,148
"c.37..183.",37,183
"c.37..232.",37,232
"c.37..259.",37,259
"c.37..268.",37,268
"c.37..293.",37,293
"c.37..322.",37,322
"c.37..338.",37,338
"c.37..360.",37,360
"c.37..384.",37,384
"c.37..404.",37,404
"c.37..410.",37,410
"c.37..414.",37,414
"c.37..445.",37,445
"c.37..453.",37,453
"c.37..470.",37,470
"c.37..480.",37,480
"c.37..510.",37,510
"c.38..60.",38,60
"c.38..64.",38,64
"c.38..68.",38,68
"c.38..111.",38,111
"c.38..129.",38,129
"c.38..132.",38,132
"c.38..138.",38,138
"c.38..153.",38,153
"c.38..171.",38,171
"c.38..182.",38,182
"c.38..224.",38,224
"c.38..297.",38,297
"c.38..306.",38,306
"c.38..333.",38,333
"c.38..358.",38,358
"c.38..383.",38,383
"c.38..386.",38,386
"c.38..406.",38,406
"c.38..409.",38,409
"c.38..433.",38,433
"c.38..434.",38,434
"c.38..438.",38,438
"c.38..449.",38,449
"c.38..450.",38,450
"c.38..469.",38,469
"c.38..484.",38,484
"c.38..492.",38,492
"c.39..62.",39,62
"c.39..81.",39,81
"c.39..100.",39,100
"c.39..104.",39,104
"c.39..128.",39,128
"c.39..136.",39,136
"c.39..141.",39,141
"c.39..150.",39,150
"c.39..185.",39,185
"c.39..186.",39,186
"c.39..194.",39,194
"c.39..199.",39,199
"c.39..208.",39,208
"c.39..211.",39,211
"c.39..227.",39,227
"c.39..269.",39,269
"c.39..282.",39,282
"c.39..287.",39,287
"c.39..329.",39,329
"c.39..346.",39,346
"c.39..348.",39,348
"c.39..388.",39,388
"c.39..400.",39,400
"c.39..418.",39,418
"c.39..455.",39,455
"c.39..477.",39,477
"c.39..499.",39,499
"c.39..506.",39,506
"c.39..509.",39,509
"c.40..41.",40,41
"c.40..81.",40,81
"c.40..112.",40,112
"c.40..145.",40,145
"c.40..164.",40,164
"c.40..196.",40,196
"c.40..208.",40,208
"c.40..212.",40,212
"c.40..227.",40,227
"c.40..229.",40,229
"c.40..263.",40,263
"c.40..274.",40,274
"c.40..286.",40,286
"c.40..334.",40,334
"c.40..340.",40,340
"c.40..347.",40,347
"c.40..359.",40,359
"c.40..393.",40,393
"c.40..405.",40,405
"c.40..423.",40,423
"c.40..444.",40,444
"c.40..457.",40,457
"c.40..477.",40,477
"c.40..491.",40,491
"c.40..498.",40,498
"c.40..511.",40,511
"c.41..72.",41,72
"c.41..111.",41,111
"c.41..113.",41,113
"c.41..166.",41,166
"c.41..171.",41,171
"c.41..191.",41,191
"c.41..196.",41,196
"c.41..208.",41,208
"c.41..212.",41,212
"c.41..224.",41,224
"c.41..228.",41,228
"c.41..229.",41,229
"c.41..260.",41,260
"c.41..284.",41,284
"c.41..285.",41,285
"c.41..306.",41,306
"c.41..307.",41,307
"c.41..340.",41,340
"c.41..347.",41,347
